2025-07-03 11:11:45,181 - WARNING - 등록된 얼굴이 없습니다.
2025-07-03 11:11:46,307 - WARNING - 미등록자 감지, 프레임 20
2025-07-03 11:11:46,525 - WARNING - 미등록자 감지, 프레임 24
2025-07-03 11:11:46,746 - WARNING - 미등록자 감지, 프레임 28
2025-07-03 11:11:46,970 - WARNING - 미등록자 감지, 프레임 32
2025-07-03 11:11:47,093 - WARNING - 미등록자 감지, 프레임 33
2025-07-03 11:11:49,933 - WARNING - 미등록자 감지, 프레임 120
2025-07-03 11:11:50,142 - WARNING - 미등록자 감지, 프레임 123
2025-07-03 11:11:50,359 - WARNING - 미등록자 감지, 프레임 128
2025-07-03 11:11:50,570 - WARNING - 미등록자 감지, 프레임 132
2025-07-03 11:11:50,778 - WARNING - 미등록자 감지, 프레임 136
2025-07-03 11:11:50,987 - WARNING - 미등록자 감지, 프레임 140
2025-07-03 11:11:51,196 - WARNING - 미등록자 감지, 프레임 144
2025-07-03 11:11:51,411 - WARNING - 미등록자 감지, 프레임 148
2025-07-03 11:11:51,621 - WARNING - 미등록자 감지, 프레임 152
2025-07-03 11:11:51,831 - WARNING - 미등록자 감지, 프레임 156
2025-07-03 11:11:52,039 - WARNING - 미등록자 감지, 프레임 160
2025-07-03 11:11:52,253 - WARNING - 미등록자 감지, 프레임 164
2025-07-03 11:11:52,466 - WARNING - 미등록자 감지, 프레임 168
2025-07-03 11:11:52,681 - WARNING - 미등록자 감지, 프레임 172
2025-07-03 11:11:52,993 - WARNING - 미등록자 감지, 프레임 179
2025-07-03 11:11:53,209 - WARNING - 미등록자 감지, 프레임 184
2025-07-03 11:11:53,547 - WARNING - 미등록자 감지, 프레임 191
2025-07-03 11:11:54,014 - WARNING - 미등록자 감지, 프레임 204
2025-07-03 11:11:54,363 - WARNING - 미등록자 감지, 프레임 212
2025-07-03 11:11:54,571 - WARNING - 미등록자 감지, 프레임 216
2025-07-03 11:11:54,782 - WARNING - 미등록자 감지, 프레임 219
2025-07-03 11:11:54,992 - WARNING - 미등록자 감지, 프레임 223
2025-07-03 11:11:55,207 - WARNING - 미등록자 감지, 프레임 228
2025-07-03 11:11:55,414 - WARNING - 미등록자 감지, 프레임 231
2025-07-03 11:11:55,622 - WARNING - 미등록자 감지, 프레임 235
